store,websites,attribute_set,type,sku,category_ids,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,weight,price,cost,description,short_description,meta_keyword,custom_layout_update,news_from_date,status,tax_class_id,visibility,enable_googlecheckout,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,manufacturer
admin,base,Default,simple,09002016-WH,12,0,White Paper Cup - 16 oz,White Paper Cup - 16 oz,White Paper Cup - 16 oz,/09002016-WH.jpg,/09002016-WH.jpg,/09002016-WH.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup - 16 oz,White Paper Cup - 16 oz,White Paper Cup - 16 oz,Use config,2,$90.00 ,,"These White Paper Cups - 16 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.       Quantity: 1,000 ","These White Paper Cups - 16 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.      Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002020-WH,12,0,White Paper Cup - 20 oz,White Paper Cup - 20 oz,White Paper Cup - 20 oz,/09002020-WH.jpg,/09002020-WH.jpg,/09002020-WH.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup - 20 oz,White Paper Cup - 20 oz,White Paper Cup - 20 oz,Use config,2,$80.00 ,,"These White Paper Cups - 20 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.                Quantity: 600 ","These White Paper Cups - 20 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.              Quantity: 600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09003130,10,0,Rotonda Cups - 130 cc,Rotonda Cups - 130 cc,Rotonda Cups - 130 cc,/09003130.jpg,/09003130.jpg,/09003130.jpg,,,," , No layout updates",Block after Info Column,Rotonda Cups - 130 cc,Rotonda Cups - 130 cc,Rotonda Cups - 130 cc,Use config,2,$105.00 ,,"These Rotonda Plastic Pink Cups - 130 cc are best used for gelato, ice cream, frozen yogurt and many other things. The 130 cc cups are pink only.     Quantity: 1,000 ","These Rotonda Plastic Pink Cups - 130 cc are best used for gelato, ice cream, frozen yogurt and many other things. The 130 cc cups are pink only.     Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09004100,11,0,Saphire Plastic Cup Orange - 100 cc,Saphire Plastic Cup Orange - 100 cc,Saphire Plastic Cup Orange - 100 cc,/09004100.jpg,/09004100.jpg,/09004100.jpg,,,," , No layout updates",Block after Info Column,Saphire Plastic Cup Orange - 100 cc,Saphire Plastic Cup Orange - 100 cc,Saphire Plastic Cup Orange - 100 cc,Use config,2,$85.00 ,,"These Saphire Plastic Orange Cups - 100 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately.       Quantity: 1,000","These Saphire Plastic Orange Cups - 100 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately.       Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09007090,9,0,Octogono Plastic Cup Green - 90 cc,Octogono Plastic Cup Green - 90 cc,Octogono Plastic Cup Green - 90 cc,/09007090.jpg,/09007090.jpg,/09007090.jpg,,,," , No layout updates",Block after Info Column,Octogono Plastic Cup Green - 90 cc,Octogono Plastic Cup Green - 90 cc,Octogono Plastic Cup Green - 90 cc,Use config,2,$80.00 ,,"These Octogono Plastic Green Cups - 90 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 90 cc cups come in blue or green only.         Quantity: 1,000","These Octogono Plastic Green Cups - 90 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 90 cc cups come in blue or green only.        Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09007151,9,0,Octogono Plastic Cup Pink - 150 cc,Octogono Plastic Cup Pink - 150 cc,Octogono Plastic Cup Pink - 150 cc,/09007151.jpg,/09007151.jpg,/09007151.jpg,,,," , No layout updates",Block after Info Column,Octogono Plastic Cup Pink - 150 cc,Octogono Plastic Cup Pink - 150 cc,Octogono Plastic Cup Pink - 150 cc,Use config,2,$100.00 ,,"These Octogono Plastic Pink Cups - 150 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 150 cc cups come in blue or pink only.  Quantity: 1,000 ","These Octogono Plastic Pink Cups - 150 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 150 cc cups come in blue or pink only.            Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09007200,9,0,Octogono Plastic Cup Blue - 200 cc,Octogono Plastic Cup Blue - 200 cc,Octogono Plastic Cup Blue - 200 cc,/09007200.jpg,/09007200.jpg,/09007200.jpg,,,," , No layout updates",Block after Info Column,Octogono Plastic Cup Blue - 200 cc,Octogono Plastic Cup Blue - 200 cc,Octogono Plastic Cup Blue - 200 cc,Use config,2,$125.00 ,,"These Octogono Plastic Blue Cups - 200 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 200 cc cups come in blue only.        Quantity: 1,000 ","These Octogono Plastic Blue Cups - 200 cc are best used for gelato, ice cream, frozen yogurt and many other things. Lid sold seperately. The 200 cc cups come in blue only.       Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001003,15,0,Infinity Paper Cup Clear Lid - 03 oz,Infinity Paper Cup Clear Lid - 03 oz,Infinity Paper Cup Clear Lid - 03 oz,/10001003.jpg,/10001003.jpg,/10001003.jpg,,,," , No layout updates",Block after Info Column,Infinity Paper Cup Clear Lid - 03 oz,Infinity Paper Cup Clear Lid - 03 oz,Infinity Paper Cup Clear Lid - 03 oz,Use config,2,$77.00 ,,"These Infinity Paper Cup Clear Lids - 3 oz. are the perfect companion for the Infinity Paper Cups - 3 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,000","These Infinity Paper Cup Clear Lids - 3 oz. are the perfect companion for the Infinity Paper Cups - 3 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001005,15,0,Infinity Paper Cup Clear Lid - 05 oz,Infinity Paper Cup Clear Lid - 05 oz,Infinity Paper Cup Clear Lid - 05 oz,/10001005.jpg,/10001005.jpg,/10001005.jpg,,,," , No layout updates",Block after Info Column,Infinity Paper Cup Clear Lid - 05 oz,Infinity Paper Cup Clear Lid - 05 oz,Infinity Paper Cup Clear Lid - 05 oz,Use config,2,$95.00 ,,"These Infinity Paper Cup Clear Lids - 5 oz. are the perfect companion for the Infinity Paper Cups - 5 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.                   Quantity: 1,000","These Infinity Paper Cup Clear Lids - 5 oz. are the perfect companion for the Infinity Paper Cups - 5 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001005-160,15,0,Saphire Clear Lid - 160 cc,Saphire Clear Lid - 160 cc,Saphire Clear Lid - 160 cc,/10001005-160.jpg,/10001005-160.jpg,/10001005-160.jpg,,,," , No layout updates",Block after Info Column,Saphire Clear Lid - 160 cc,Saphire Clear Lid - 160 cc,Saphire Clear Lid - 160 cc,Use config,2,$74.00 ,,"These Saphire Clear Lids - 160 cc are the perfect companion for the Saphire Plastic Cup Green - 160 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,050","These Saphire Clear Lids - 160 cc are the perfect companion for the Saphire Plastic Cup Green - 160 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001005-220,15,0,Saphire Clear Lid - 220 cc,Saphire Clear Lid - 220 cc,Saphire Clear Lid - 220 cc,/10001005-220.jpg,/10001005-220.jpg,/10001005-220.jpg,,,," , No layout updates",Block after Info Column,Saphire Clear Lid - 220 cc,Saphire Clear Lid - 220 cc,Saphire Clear Lid - 220 cc,Use config,2,$73.00 ,,"These Saphire Clear Lids - 220 cc are the perfect companion for the Saphire Plastic Cup Blue - 220 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,050","These Saphire Clear Lids - 220 cc are the perfect companion for the Saphire Plastic Cup Blue - 220 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.            Quantity: 1,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001005-90,15,0,Saphire Clear Lid - 90 cc,Saphire Clear Lid - 90 cc,Saphire Clear Lid - 90 cc,/10001005-90.jpg,/10001005-90.jpg,/10001005-90.jpg,,,," , No layout updates",Block after Info Column,Saphire Clear Lid - 90 cc,Saphire Clear Lid - 90 cc,Saphire Clear Lid - 90 cc,Use config,2,$81.00 ,,"These Saphire Clear Lids - 90 cc are the perfect companion for the Saphire Plastic Cup Orange - 90 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,200","These Saphire Clear Lids - 90 cc are the perfect companion for the Saphire Plastic Cup Orange - 90 cc. and are best used for ice cream, gelato, frozen yogurt and many other things.            Quantity: 1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001008,15,0,Infinity Paper Cup Clear Lid - 08 oz,Infinity Paper Cup Clear Lid - 08 oz,Infinity Paper Cup Clear Lid - 08 oz,/10001008.jpg,/10001008.jpg,/10001008.jpg,,,," , No layout updates",Block after Info Column,Infinity Paper Cup Clear Lid - 08 oz,Infinity Paper Cup Clear Lid - 08 oz,Infinity Paper Cup Clear Lid - 08 oz,Use config,2,$110.00 ,,"These Infinity Paper Cup Clear Lids - 8 oz. are the perfect companion for the Infinity Paper Cups - 8 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,000","These Infinity Paper Cup Clear Lids - 8 oz. are the perfect companion for the Infinity Paper Cups - 8 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.      Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001012,15,0,Infinity Paper Cup Clear Lid - 12 oz,Infinity Paper Cup Clear Lid - 12 oz,Infinity Paper Cup Clear Lid - 12 oz,/10001012.jpg,/10001012.jpg,/10001012.jpg,,,," , No layout updates",Block after Info Column,Infinity Paper Cup Clear Lid - 12 oz,Infinity Paper Cup Clear Lid - 12 oz,Infinity Paper Cup Clear Lid - 12 oz,Use config,2,$108.00 ,,"These Infinity Paper Cup Clear Lids - 12 oz. are the perfect companion for the Infinity Paper Cups - 12 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.         Quantity: 1,000","These Infinity Paper Cup Clear Lids - 12 oz. are the perfect companion for the Infinity Paper Cups - 12 oz. Infinity Paper Cups are best used for ice cream, gelato, frozen yogurt and many other things.            Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10001016,15,0,Infinity Paper Cup Clear Lid - 16 oz,Infinity Paper Cup Clear Lid - 16 oz,Infinity Paper Cup Clear Lid - 16 oz,/10001016.jpg,/10001016.jpg,/10001016.jpg,,,," , No layout updates",Block after Info Column,Infinity Paper Cup Clear Lid - 16 oz,Infinity Paper Cup Clear Lid - 16 oz,Infinity Paper Cup Clear Lid - 16 oz,Use config,2,$70.00 ,,"These Fruit Paper Cup Lids - 16 oz. are the perfect companion for the Fruit Paper Cups - 16 oz which are used for ice cream, gelato, frozen yogurt and many other things.                     Quantity: 1,000  ","These Fruit Paper Cup Lids - 16 oz. are the perfect companion for the Fruit Paper Cups - 16 oz which are used for ice cream, gelato, frozen yogurt and many other things.                     Quantity: 1,000  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002006-4,15,0,White Paper Cup Lid - 04 oz,White Paper Cup Lid - 04 oz,White Paper Cup Lid - 04 oz,/10002006-4.jpg,/10002006-4.jpg,/10002006-4.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 04 oz,White Paper Cup Lid - 04 oz,White Paper Cup Lid - 04 oz,Use config,2,$77.00 ,,"These White Paper Cup Clear Lids - 4 oz. are the perfect companion for the White Paper Cups - 4 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 1,000","These White Paper Cup Clear Lids - 4 oz. are the perfect companion for the White Paper Cups - 4 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002006-5,15,0,White Paper Cup Lid - 05 oz,White Paper Cup Lid - 05 oz,White Paper Cup Lid - 05 oz,/10002006-5.jpg,/10002006-5.jpg,/10002006-5.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 05 oz,White Paper Cup Lid - 05 oz,White Paper Cup Lid - 05 oz,Use config,2,$55.00 ,,"These White Paper Cup Clear Lids - 5 oz. are the perfect companion for the White Paper Cups - 5 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..              Quantity: 1,000","These White Paper Cup Clear Lids - 5 oz. are the perfect companion for the White Paper Cups - 5 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002006-6,15,0,White Paper Cup Lid - 06 oz,White Paper Cup Lid - 06 oz,White Paper Cup Lid - 06 oz,/10002006-6.jpg,/10002006-6.jpg,/10002006-6.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 06 oz,White Paper Cup Lid - 06 oz,White Paper Cup Lid - 06 oz,Use config,2,$55.00 ,,"These White Paper Cup Clear Lids - 6 oz. are the perfect companion for the White Paper Cups - 6 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..         Quantity: 1,000","These White Paper Cup Clear Lids - 6 oz. are the perfect companion for the White Paper Cups - 6 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..       Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002008-8,15,0,White Paper Cup Lid - 08 oz,White Paper Cup Lid - 08 oz,White Paper Cup Lid - 08 oz,/10002008-8.jpg,/10002008-8.jpg,/10002008-8.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 08 oz,White Paper Cup Lid - 08 oz,White Paper Cup Lid - 08 oz,Use config,2,$55.00 ,,"These White Paper Cup Clear Lids - 8 oz. are the perfect companion for the White Paper Cups - 8 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 1,000","These White Paper Cup Clear Lids - 8 oz. are the perfect companion for the White Paper Cups - 8 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002012,15,0,White Paper Cup Lid - 12 oz,White Paper Cup Lid - 12 oz,White Paper Cup Lid - 12 oz,/10002012.jpg,/10002012.jpg,/10002012.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 12 oz,White Paper Cup Lid - 12 oz,White Paper Cup Lid - 12 oz,Use config,2,$65.00 ,,"These White Paper Cup Clear Lids - 12 oz. are the perfect companion for the White Paper Cups - 12 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 1,000","These White Paper Cup Clear Lids - 12 oz. are the perfect companion for the White Paper Cups - 12 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..             Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002016,15,0,White Paper Cup Lid - 16 oz,White Paper Cup Lid - 16 oz,White Paper Cup Lid - 16 oz,/10002016.jpg,/10002016.jpg,/10002016.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 16 oz,White Paper Cup Lid - 16 oz,White Paper Cup Lid - 16 oz,Use config,2,$70.00 ,,"These White Paper Cup Clear Lids - 16 oz. are the perfect companion for the White Paper Cups - 16 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity 500","These White Paper Cup Clear Lids - 16 oz. are the perfect companion for the White Paper Cups - 16 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10002020,15,0,White Paper Cup Lid - 20 oz,White Paper Cup Lid - 20 oz,White Paper Cup Lid - 20 oz,/10002020.jpg,/10002020.jpg,/10002020.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup Lid - 20 oz,White Paper Cup Lid - 20 oz,White Paper Cup Lid - 20 oz,Use config,2,$75.00 ,,"These White Paper Cup Clear Lids - 20 oz. are the perfect companion for the White Paper Cups - 20 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..             Quantity: 600","These White Paper Cup Clear Lids - 20 oz. are the perfect companion for the White Paper Cups - 20 oz which are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things..           Quantity: 600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10006090,15,0,Crystal Plastic Lid - 90 cc,Crystal Plastic Lid - 90 cc,Crystal Plastic Lid - 90 cc,/10006090.jpg,/10006090.jpg,/10006090.jpg,,,," , No layout updates",Block after Info Column,Crystal Plastic Lid - 90 cc,Crystal Plastic Lid - 90 cc,Crystal Plastic Lid - 90 cc,Use config,2,$77.00 ,,"These Crystal Plastic Lids - 90 cc are the perfect companion for the Crystal Plastic Cups - 90 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.         Quantity 1,000","These Crystal Plastic Lids - 90 cc are the perfect companion for the Crystal Plastic Cups - 90 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.         Quantity 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10006150,15,0,Crystal Plastic Lid - 150 cc,Crystal Plastic Lid - 150 cc,Crystal Plastic Lid - 150 cc,/10006150.jpg,/10006150.jpg,/10006150.jpg,,,," , No layout updates",Block after Info Column,Crystal Plastic Lid - 150 cc,Crystal Plastic Lid - 150 cc,Crystal Plastic Lid - 150 cc,Use config,2,$87.00 ,,"These Crystal Plastic Lids - 150 cc are the perfect companion for the Crystal Plastic Cups - 150 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.        Quantity: 1,000","These Crystal Plastic Lids - 150 cc are the perfect companion for the Crystal Plastic Cups - 150 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.      Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10006200,15,0,Crystal Plastic Lid - 200 cc,Crystal Plastic Lid - 200 cc,Crystal Plastic Lid - 200 cc,/10006200.jpg,/10006200.jpg,/10006200.jpg,,,," , No layout updates",Block after Info Column,Crystal Plastic Lid - 200 cc,Crystal Plastic Lid - 200 cc,Crystal Plastic Lid - 200 cc,Use config,2,$95.00 ,,"These Crystal Plastic Lids - 200 cc are the perfect companion for the Crystal Plastic Cups - 200 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.        Quantity: 1,000","These Crystal Plastic Lids - 200 cc are the perfect companion for the Crystal Plastic Cups - 200 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.      Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10007090,15,0,Octogono Plastic Lid - 90 cc,Octogono Plastic Lid - 90 cc,Octogono Plastic Lid - 90 cc,/10007090.jpg,/10007090.jpg,/10007090.jpg,,,," , No layout updates",Block after Info Column,Octogono Plastic Lid - 90 cc,Octogono Plastic Lid - 90 cc,Octogono Plastic Lid - 90 cc,Use config,2,$77.00 ,,"These Octogono Plastic Lids - 90 cc are the perfect companion for the Octogono Plastic Cups - 90 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.         Quantity: 1,000","These Octogono Plastic Lids - 90 cc are the perfect companion for the Octogono Plastic Cups - 90 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,10007150,15,0,Octogono Plastic Lid - 150 cc,Octogono Plastic Lid - 150 cc,Octogono Plastic Lid - 150 cc,/10007150.jpg,/10007150.jpg,/10007150.jpg,,,," , No layout updates",Block after Info Column,Octogono Plastic Lid - 150 cc,Octogono Plastic Lid - 150 cc,Octogono Plastic Lid - 150 cc,Use config,2,$87.00 ,,"These Octogono Plastic Lids - 150 cc are the perfect companion for the Octogono Plastic Cups - 150 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.            Quantity: 1,000","These Octogono Plastic Lids - 150 cc are the perfect companion for the Octogono Plastic Cups - 150 cc which are used mostly for gelato, ice cream, frozen yogurt and many other things.         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
